"No","Player ID","Player Name","MLB ID","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","Release Extension (ft)","VB (trajectory)","HB (trajectory)","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number"
33,934057,"Brett Dunham","-","Sun Sep 18 2022 5:30:15 PM",1663522215,"Fastball","NO","16.50","55.65",85.19,2200.4,2102.8,95.6,"01:16",0.7,1.85786247,"16.50","23.56","16.5","13.1","-2.96","0.10","5.25","2.14","17.13","934057@1663522215","RBB20XBNR56R"
34,934057,"Brett Dunham","-","Sun Sep 18 2022 5:30:27 PM",1663522227,"Fastball","NO","6.91","48.07",86.68,2089.1,2086.3,99.9,"02:00",0.7,1.91372108,"10.68","19.70","10.7","18.4","-3.74","-0.44","5.08","2.37","2.95","934057@1663522227","RBB20XBNR56R"
35,934057,"Brett Dunham","-","Sun Sep 18 2022 5:32:16 PM",1663522336,"-","NO","-","-",71.86,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","934057@1663522336","RBB20XBNR56R"
36,934057,"Brett Dunham","-","Thu Sep 22 2022 3:28:59 PM",1663860539,"Fastball","NO","-5.05","44.61",85.01,2030.5,2024.5,99.7,"01:36",0.9,2.130228,"13.93","16.92","13.9","15.3","-4.15","0.23","4.89","1.94","4.37","934057@1663860539","RBB20XBNR56R"
37,934057,"Brett Dunham","-","Thu Sep 22 2022 3:29:23 PM",1663860563,"Fastball","NO","-8.53","43.79",84.57,2002.2,2001.2,100,"01:36",0.9,"-","13.54","17.69","13.5","15.0","-4.47","0.97","4.75","1.87","1.81","934057@1663860563","RBB20XBNR56R"
38,934057,"Brett Dunham","-","Thu Sep 22 2022 3:29:46 PM",1663860586,"-","NO","-","-",86.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","934057@1663860586","RBB20XBNR56R"
39,934057,"Brett Dunham","-","Thu Sep 22 2022 3:30:10 PM",1663860610,"TwoSeamFastball","YES","7.91","36.02",86.14,2117,2115,99.9,"02:02",0.9,2.1447258,"10.18","19.61","10.2","18.2","-3.14","0.73","4.58","1.87","2.49","934057@1663860610","RBB20XBNR56R"
40,934057,"Brett Dunham","-","Thu Sep 22 2022 3:30:41 PM",1663860641,"TwoSeamFastball","NO","33.22","39.93",78.47,1642.2,1642.1,100,"02:26",0.9,"-","5.36","18.68","5.4","18.2","-1.14","2.40","4.36","2.25","0.74","934057@1663860641","RBB20XBNR56R"
41,934057,"Brett Dunham","-","Thu Sep 22 2022 3:31:02 PM",1663860662,"ChangeUp","NO","25.65","32.13",80.56,1497.7,1453.4,97,"02:20",0.9,2.145792,"6.00","12.83","6.0","16.8","-1.01","0.77","4.50","1.99","-13.96","934057@1663860662","RBB20XBNR56R"
42,934057,"Brett Dunham","-","Thu Sep 22 2022 3:31:26 PM",1663860686,"ChangeUp","NO","21.56","38.86",81.27,1426.8,1426.8,100,"02:24",0.9,2.13245583,"5.45","15.01","5.5","16.9","-1.40","1.73","4.44","1.82","-0.26","934057@1663860686","RBB20XBNR56R"
43,934057,"Brett Dunham","-","Thu Sep 22 2022 3:31:55 PM",1663860715,"TwoSeamFastball","NO","14.61","19.24",86.41,1937,1890.6,97.6,"01:52",1,2.14802361,"10.80","17.53","10.8","16.4","-2.40","-1.33","4.70","1.94","-12.56","934057@1663860715","RBB20XBNR56R"
44,934057,"Brett Dunham","-","Thu Sep 22 2022 3:32:16 PM",1663860736,"CurveBall","YES","2.95","34.22",74.99,2462.6,1814.7,73.7,"07:34",0.9,2.02244,"-11.54","-17.53","-11.5","-14.0","-0.26","2.93","4.50","1.95","42.53","934057@1663860736","RBB20XBNR56R"
